id,season,winner,home_team_avg_score,visitor_team_avg_score
47179,2018,1,105.7,98.1
48751,2018,0,105.7,100.6
48739,2018,1,103.2,104.2
48740,2018,1,103.4,98.2
48746,2018,1,105.5,96.0
48762,2018,1,101.7,99.4
48745,2018,1,101.2,98.8
48748,2018,1,103.1,98.2
48749,2018,0,103.3,98.1
48747,2018,1,104.6,101.4
48752,2018,0,101.8,99.4
48756,2018,1,104.8,102.1
48760,2018,1,103.2,103.9
48757,2018,1,105.5,104.2
48755,2018,0,104.5,98.6
48754,2018,0,104.9,102.3
48759,2018,1,108.7,96.0
48758,2018,0,103.3,98.6
48766,2018,1,104.9,101.5
48764,2018,1,101.1,99.4
48770,2018,1,103.3,103.9
48763,2018,1,103.1,98.1
48765,2018,0,101.8,101.1
48774,2018,1,108.7,100.0
48772,2018,0,98.4,101.4
48775,2018,0,102.2,99.4
48771,2018,0,103.2,101.8
48773,2018,0,101.2,98.6
48781,2018,1,100.1,102.1
48787,2018,1,101.2,102.3
48776,2018,0,103.1,101.1
48777,2018,1,105.7,99.3
48778,2018,0,101.6,99.8
48780,2018,1,101.8,95.9
48793,2018,1,104.5,101.8
48806,2018,1,102.2,95.9
48796,2018,0,101.8,99.6
48779,2018,1,101.1,99.4
48782,2018,0,104.8,96.0
48784,2018,1,106.1,104.6
48791,2018,1,103.2,96.0
48795,2018,1,107.8,102.1
48834,2018,0,100.9,102.1
48802,2018,0,98.4,100.6
48829,2018,0,101.2,99.8
48833,2018,1,109.5,102.3
48844,2018,1,107.8,98.4
48859,2018,0,103.1,98.6
48845,2018,1,103.1,98.8
48856,2018,0,105.5,100.6
48872,2018,1,101.7,98.6
48875,2018,1,102.1,101.5
48887,2018,0,108.7,101.8
48897,2018,0,107.8,104.2
48890,2018,1,103.4,101.5
48907,2018,1,108.7,104.2
48903,2018,1,100.2,98.2
48910,2018,0,103.3,99.4
48937,2018,1,103.4,98.6
48913,2018,1,104.5,98.1
48919,2018,1,98.4,98.6
48915,2018,1,101.7,99.6
48925,2018,1,103.4,101.7
48921,2018,1,100.1,98.5
48932,2018,0,101.8,103.9
48959,2018,1,104.8,98.2
48947,2018,1,104.6,98.8
48950,2018,1,103.2,101.7
49001,2018,0,108.4,99.3
48970,2018,1,105.5,99.6
48977,2018,0,106.0,96.0
48995,2018,0,106.0,98.6
49007,2018,1,104.9,101.4
49062,2018,1,101.7,102.1
49013,2018,0,101.8,100.0
49022,2018,0,101.2,102.1
49026,2018,1,101.8,99.8
49033,2018,1,101.1,99.6
49052,2018,1,105.7,98.2
49058,2018,1,107.8,98.1
49070,2018,0,101.2,103.9
49076,2018,1,105.7,96.0
49085,2018,1,105.7,98.4
49101,2018,0,107.8,104.6
49098,2018,1,106.1,95.9
49089,2018,1,101.8,98.5
49113,2018,1,109.5,102.1
49130,2018,0,105.5,98.4
49104,2018,1,101.8,98.4
49120,2018,0,100.1,102.3
49133,2018,0,102.2,98.1
49142,2018,0,107.8,102.1
49143,2018,0,103.3,100.1
48788,2018,1,101.8,98.1
48783,2018,1,109.5,101.7
48807,2018,0,103.4,100.1
48792,2018,0,102.1,102.1
48790,2018,1,102.2,104.2
48837,2018,0,102.1,99.4
48799,2018,1,103.1,98.4
48800,2018,0,101.6,98.8
48798,2018,1,100.9,99.4
48825,2018,1,102.1,101.4
48797,2018,1,101.1,101.4
48803,2018,0,104.8,104.2
48805,2018,0,100.9,99.4
48823,2018,0,100.2,104.2
48810,2018,1,101.2,103.9
48811,2018,1,101.8,101.8
48828,2018,1,100.1,101.7
48842,2018,1,104.6,100.6
48839,2018,0,98.4,99.6
48850,2018,0,106.0,99.8
48827,2018,1,98.4,103.9
48857,2018,0,107.8,101.1
48838,2018,1,100.2,104.6
48851,2018,0,103.3,99.6
48849,2018,0,109.5,100.0
48864,2018,0,109.5,98.4
48858,2018,0,102.2,99.3
48855,2018,0,108.4,98.4
48869,2018,0,101.8,98.4
48860,2018,1,100.2,99.4
48866,2018,1,104.6,101.1
48873,2018,1,103.4,98.8
48879,2018,0,104.6,98.4
48870,2018,1,103.5,98.5
48877,2018,1,105.7,104.2
48882,2018,1,103.1,99.6
48881,2018,0,107.8,100.6
48883,2018,1,103.2,98.6
48884,2018,0,101.1,102.1
48896,2018,0,105.5,101.8
48920,2018,0,104.8,102.1
48902,2018,0,101.8,99.3
48909,2018,0,101.6,101.7
48929,2018,1,103.5,101.8
48940,2018,1,103.3,95.9
48922,2018,1,105.7,101.1
48926,2018,1,102.1,99.3
48930,2018,1,103.1,98.5
48933,2018,0,101.2,101.1
48934,2018,0,104.8,101.4
48942,2018,0,108.4,100.0
48945,2018,1,105.7,101.7
48944,2018,1,101.8,98.2
48955,2018,1,105.7,98.5
48951,2018,0,103.4,98.1
48958,2018,0,101.2,104.2
48960,2018,0,106.0,104.6
