id,season,winner,home_team_avg_score,visitor_team_avg_score
62585,2019,1,117.0,112.8
62594,2019,0,117.3,110.0
62597,2019,0,109.3,108.8
62596,2019,1,112.2,106.4
62586,2019,1,104.2,107.6
62599,2019,0,107.0,114.9
62588,2019,1,106.1,104.8
62592,2019,1,117.7,114.8
62595,2019,1,114.5,109.8
62598,2019,0,116.6,116.1
62602,2019,1,112.1,106.2
62600,2019,1,115.4,111.5
62610,2019,0,109.3,107.7
62601,2019,0,104.2,115.8
62605,2019,0,117.6,116.3
62611,2019,1,114.6,108.3
62606,2019,1,110.9,112.6
62603,2019,0,113.4,107.6
62609,2019,0,119.4,108.8
62612,2019,0,105.4,110.3
62614,2019,0,106.1,111.5
62613,2019,1,108.6,107.6
62617,2019,1,112.2,109.8
62615,2019,1,116.6,114.1
62618,2019,1,114.5,114.9
62625,2019,1,105.4,107.6
62644,2019,0,114.0,116.1
62628,2019,1,116.6,106.4
62650,2019,1,117.6,110.0
62651,2019,1,117.0,113.4
62653,2019,1,110.4,104.8
62652,2019,1,112.1,116.1
62667,2019,0,117.3,107.7
62668,2019,1,110.4,107.6
62663,2019,0,114.0,115.8
62672,2019,0,108.6,116.3
62689,2019,1,113.0,109.8
62679,2019,1,107.0,112.0
62675,2019,1,112.1,114.1
62680,2019,1,104.2,107.6
62683,2019,0,106.1,112.8
62697,2019,1,117.0,112.0
62691,2019,1,113.4,115.8
62729,2019,1,110.4,106.4
62700,2019,1,106.1,112.2
62704,2019,0,117.6,111.5
62710,2019,0,104.2,114.1
62719,2019,0,105.4,104.8
62727,2019,0,107.0,110.9
62721,2019,1,117.3,108.8
62725,2019,0,114.7,112.2
62731,2019,1,114.5,105.2
62738,2019,1,106.1,107.7
62756,2019,0,107.0,110.3
62757,2019,1,113.5,109.8
62775,2019,0,106.1,116.1
62762,2019,0,110.1,116.1
62758,2019,0,106.1,110.8
62769,2019,0,113.4,110.0
62783,2019,1,113.5,106.4
62779,2019,0,112.2,115.8
62791,2019,1,117.7,105.6
62796,2019,0,114.5,114.1
62787,2019,0,114.6,116.1
62820,2019,0,114.0,109.8
62799,2019,1,114.0,101.6
62805,2019,1,110.9,110.3
62810,2019,1,110.4,108.3
62815,2019,0,113.4,112.8
62832,2019,0,114.7,112.8
62835,2019,1,110.9,114.8
62825,2019,1,110.4,112.2
62844,2019,1,119.4,108.8
62870,2019,0,113.5,116.3
62836,2019,1,115.4,110.8
62853,2019,0,108.6,116.1
62846,2019,0,114.5,114.8
62854,2019,0,105.4,107.7
62863,2019,1,110.4,110.0
62874,2019,1,113.0,110.9
62879,2019,0,113.4,107.6
62881,2019,0,110.4,107.6
62908,2019,0,106.1,105.6
62882,2019,0,108.6,105.2
62909,2019,1,113.2,115.8
62883,2019,0,114.0,108.3
62894,2019,1,106.1,112.2
62895,2019,0,113.2,107.6
62924,2019,0,117.3,106.4
62916,2019,1,116.6,112.6
62919,2019,0,104.2,108.8
62937,2019,1,114.5,108.8
62927,2019,1,115.4,104.8
62931,2019,0,117.6,105.2
62951,2019,0,109.3,116.3
62939,2019,0,108.6,116.1
62944,2019,1,106.1,108.8
62948,2019,1,110.4,106.4
62950,2019,0,114.7,104.8
62955,2019,1,112.9,114.1
62996,2019,0,117.7,110.3
62969,2019,0,116.6,105.2
62957,2019,0,114.5,112.8
62975,2019,1,110.9,106.2
62977,2019,0,109.3,114.8
63002,2019,0,117.0,116.1
63003,2019,1,108.6,112.2
63035,2019,0,117.3,114.1
63012,2019,1,107.0,114.1
63013,2019,1,112.1,108.8
63041,2019,0,113.5,114.9
63043,2019,1,109.3,114.8
63054,2019,1,107.0,112.6
63059,2019,0,114.0,106.2
63064,2019,1,114.7,105.2
62624,2019,1,109.3,107.6
62623,2019,1,113.5,101.6
62635,2019,1,114.5,108.8
62629,2019,1,119.4,104.8
62657,2019,0,117.7,112.8
62637,2019,1,113.5,112.2
62638,2019,1,108.6,107.6
62640,2019,1,112.9,115.8
62692,2019,1,117.7,108.3
62661,2019,1,109.3,110.8
62722,2019,0,113.5,111.5
62703,2019,1,110.1,105.6
62754,2019,0,110.1,114.8
62726,2019,0,117.6,116.1
62732,2019,1,106.1,106.2
62743,2019,0,117.3,111.5
62746,2019,1,119.4,107.6
62759,2019,0,110.4,116.1
62804,2019,1,117.7,104.8
62778,2019,0,114.5,110.3
62789,2019,1,114.5,104.8
62822,2019,1,117.0,114.1
62812,2019,0,105.4,113.4
62842,2019,1,116.6,108.8
62824,2019,1,109.3,108.3
62856,2019,1,114.5,105.6
62872,2019,0,117.6,106.4
62878,2019,1,114.6,105.6
62902,2019,0,117.6,112.6
62885,2019,0,117.6,116.3
62891,2019,1,106.1,112.6
62903,2019,0,104.2,110.8
62964,2019,1,113.0,110.8
62976,2019,0,107.0,109.8
62988,2019,1,112.2,108.3
62981,2019,0,119.4,116.3
62991,2019,0,109.3,111.5
63018,2019,0,114.7,114.9
63007,2019,1,114.5,106.2
63029,2019,1,110.4,111.5
63026,2019,0,113.5,110.0
63323,2019,1,109.3,110.0
63402,2019,1,115.4,114.9
63324,2019,0,104.2,108.3
63403,2019,0,109.3,116.1
63406,2019,0,106.1,101.6
